PART_NAME,V_DS (V),I_D (A),R_DS_ON (mO),C_OSS (pF),R_JA (C/W),R_JB (C/W),R_JC (C/W),T_J_MAX (C),P_D (W),FOM (ps),Distributor,Manufacturer,Cost ($)
# GAN3R2-100CBEAZ,100.0,60.0,3.3,1225.0,33.0,,0.3,150.0,375.0,4.0425,Mouser,Nexperia,5.56
EPC2059,170.0,24.0,9.0,510.0,63.0,3,0.9,150.0,125.0,4.59,Digikey,EPC,4.45
EPC2305,150.0,102.0,2.7,1850.0,45.0,1.5,0.2,150.0,562.5,4.995,Digikey,EPC,8.33
EPC2308,150.0,48.0,6.0,900.0,54.0,2.8,0.5,150.0,225.0,5.382,Digikey,EPC,6.88
GAN7R0-150LBEZ,150.0,28.0,8.4,875.0,57.0,,4.4,150.0,25.6,7.35,Mouser,Nexperia,4.17
EPC2033,150.0,48.0,6.5,1150.0,45.0,3.9,0.5,150.0,250.0,7.475,Digikey,EPC,9.46
EPC2207,200.0,14.0,20.0,270.0,72.0,5.1,1.4,150.0,80.4,5.4,Digikey,EPC,3.23
EPC2215,200.0,32.0,8.0,825.0,52.0,2.5,0.5,150.0,225.0,6.6,Digikey,EPC,6.21
EPC2304,200.0,102.0,4.1,1700.0,45.0,1.5,0.2,150.0,562.5,6.97,Digikey,EPC,8.75
EPC2307,200.0,48.0,10.1,737.5,54.0,2.8,0.5,150.0,225.0,7.44875,Digikey,EPC,6.25
EPC2010C,200.0,22.0,24.5,315.0,56.0,2.7,1.1,150.0,102.3,7.7175,Digikey,EPC,6.9
EPC2019,200.0,8.5,31.0,272.5,72.0,7.5,2.7,150.0,41.7,8.4475,Digikey,EPC,3.67
EPC2054,200.0,3.0,42.5,202.5,83.0,14,2.9,150.0,38.8,8.60625,Digikey,EPC,1.78
EPC2034C,200.0,48.0,8.0,1262.5,45.0,4,0.3,150.0,375.0,10.1,Digikey,EPC,8.83
EPC2012C,200.0,5.0,87.5,132.5,85.0,12.5,4.2,150.0,26.8,11.59375,Digikey,EPC,2.76
# EPC2050,350.0,6.3,77.5,250.0,65.0,10,1.1,150.0,102.3,19.375,Digikey,EPC,6.07
# IGLD60R070D1AUMA3,600.0,15.0,71.5,220.0,,,1.1,150.0,102.3,15.73,Mouser,Infineon,14.42
# IGLR60R190D1XUMA1,600.0,12.8,193.5,94.0,,,2.3,150.0,50.0,18.189,Mouser,Infineon,7.81
# GNP1150TCA-ZE2,650.0,11.0,208.0,95.0,46.5,,2.0,150.0,56.3,19.76,Mouser,ROHM Semiconductor,8.22
# GAN080-650EBEZ,650.0,29.0,78.0,275.0,33.6,,0.5,150.0,3.3,21.45,Mouser,Nexperia,9.16
# GAN140-650FBEZ,650.0,17.0,145.8,155.0,60.3,,1.1,150.0,102.3,22.59125,Mouser,Nexperia,6.24
# GAN190-650FBEZ,650.0,11.5,207.0,110.0,35.9,,1.0,150.0,112.5,22.77,Mouser,Nexperia,4.45
# GNP1070TC-ZE2,650.0,20.0,120.0,190.0,46.5,,2.2,150.0,51.1,22.8,Mouser,ROHM Semiconductor,11.38
# GS-065-030-2-L-MR,650.0,30.0,80.0,300.0,35.0,,0.5,150.0,225.0,24,Mouser,GaN Systems,13.01
# GS-065-011-1-L-MR,650.0,11.0,248.0,97.5,36.5,,1.4,150.0,80.4,24.18,Mouser,GaN Systems,4.43
# GS66506T-TR,650.0,22.5,109.7,225.0,,,0.7,150.0,160.7,24.6796875,Mouser,GaN Systems,16.98
# GS66504B-TR,650.0,15.0,160.0,155.0,28.0,,1.0,150.0,112.5,24.8,Mouser,GaN Systems,13.86
# GS66508B-TR,650.0,30.0,81.3,325.0,24.0,,0.5,150.0,225.0,26.40625,Mouser,GaN Systems,20.58
# GS66516B-TR,650.0,60.0,40.6,650.0,23.0,,0.3,150.0,416.7,26.40625,Mouser,GaN Systems,44.49
# TP65H070LSG-TR,650.0,25.0,100.8,837.5,62.0,,1.3,150.0,86.5,84.42,Mouser,Transphorm,13.12
# TP65H150G4LSG,650.0,13.0,210.0,430.0,50.0,,2.4,150.0,46.9,90.3,Mouser,Transphorm,5.01
# TP65H150BG4JSG,650.0,16.0,210.0,432.5,50.0,,1.5,150.0,75.0,90.825,Mouser,Transphorm,4.11